Date,Closing Price (Approx 5-6 PM EST),Score
23 Jan 2026,0.6842285,5
24 Jan 2026,0.6842285,5
25 Jan 2026,0.6842285,5
26 Jan 2026,0.6898455,5
27 Jan 2026,0.69127613,6
28 Jan 2026,0.70121306,8
29 Jan 2026,0.7038784,10
30 Jan 2026,0.7054176,9
31 Jan 2026,0.7054176,9
1 Feb 2026,0.7054176,7
2 Feb 2026,0.6963788,5
3 Feb 2026,0.69507194,4
4 Feb 2026,0.70234585,4
5 Feb 2026,0.700133,4
6 Feb 2026,0.6932409,4
7 Feb 2026,0.6932409,4
8 Feb 2026,0.6932409,4
9 Feb 2026,0.70190215,4
10 Feb 2026,0.70916957,6
11 Feb 2026,0.7073136,4
12 Feb 2026,0.71301246,4
13 Feb 2026,0.70886797,5
14 Feb 2026,0.70886797,5
15 Feb 2026,0.70886797,5
16 Feb 2026,0.7077642,5
17 Feb 2026,0.70746374,5
18 Feb 2026,0.7087172,5
19 Feb 2026,0.70487064,3
20 Feb 2026,0.7060153,4
21 Feb 2026,0.7060153,4
22 Feb 2026,0.7060153,4
23 Feb 2026,0.70861673,4
24 Feb 2026,0.7058159,2
25 Feb 2026,0.70626456,1
26 Feb 2026,0.71235216,-3
27 Feb 2026,0.7105805,2
28 Feb 2026,0.7105805,2
1 Mar 2026,0.7105805,1
2 Mar 2026,0.7118451,4
3 Mar 2026,0.71027774,0
4 Mar 2026,0.7039279,5
5 Mar 2026,0.70786434,2
6 Mar 2026,0.70131147,6
7 Mar 2026,0.70131147,4
8 Mar 2026,0.70131147,4
9 Mar 2026,0.7032843,5
10 Mar 2026,0.7079646,5
11 Mar 2026,0.7122,4
12 Mar 2026,0.71535873,7
13 Mar 2026,0.70761395,3
14 Mar 2026,0.70761395,0
15 Mar 2026,0.70761395,3
16 Mar 2026,0.6981241,5
17 Mar 2026,0.70682865,4
18 Mar 2026,0.7102172,0
